Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,29,26.1,57,38,418,"3,420",38,69,47,116,63,6,7,69,0,1.82,1.24,3.05,1.66,2.89
Aston Villa,27,26.3,49,38,418,"3,420",38,31,23,54,30,1,1,76,0,0.82,0.61,1.42,0.79,1.39
Burnley,24,27.2,43,38,418,"3,420",38,27,22,49,26,1,2,66,0,0.71,0.58,1.29,0.68,1.26
Chelsea,25,27,56,38,418,"3,420",38,72,59,131,68,4,5,75,0,1.89,1.55,3.45,1.79,3.34
Crystal Palace,30,27.8,40,38,418,"3,420",38,46,27,73,41,5,7,70,0,1.21,0.71,1.92,1.08,1.79
Everton,28,27.9,55,38,418,"3,420",38,47,31,78,43,4,7,71,0,1.24,0.82,2.05,1.13,1.95
Hull City,29,27.4,44,38,418,"3,420",38,32,22,54,31,1,1,75,0,0.84,0.58,1.42,0.82,1.39
Leicester City,28,27.9,44,38,418,"3,420",38,45,29,74,42,3,3,49,0,1.18,0.76,1.95,1.11,1.87
Liverpool,25,25.2,56,38,418,"3,420",38,48,30,78,43,5,6,70,0,1.26,0.79,2.05,1.13,1.92
Manchester City,24,28.6,60,38,418,"3,420",38,82,61,143,75,7,8,82,0,2.16,1.61,3.76,1.97,3.58
Manchester Utd,33,26,61,38,418,"3,420",38,60,41,101,57,3,5,68,0,1.58,1.08,2.66,1.5,2.58
Newcastle Utd,27,25.9,48,38,418,"3,420",38,40,30,70,39,1,1,78,0,1.05,0.79,1.84,1.03,1.82
QPR,32,28.2,45,38,418,"3,420",38,39,29,68,36,3,5,79,0,1.03,0.76,1.79,0.95,1.71
Southampton,29,26,53,38,418,"3,420",38,49,32,81,47,2,3,59,0,1.29,0.84,2.13,1.24,2.08
Stoke City,25,27.4,50,38,418,"3,420",38,47,30,77,44,3,3,84,0,1.24,0.79,2.03,1.16,1.95
Sunderland,25,27.8,45,38,417,"3,420",38,30,20,50,26,4,4,96,0,0.79,0.53,1.32,0.68,1.21
Swansea City,28,26.6,50,38,418,"3,420",38,43,34,77,41,2,2,54,0,1.13,0.89,2.03,1.08,1.97
Tottenham,27,24.4,57,38,418,"3,420",38,56,40,96,53,3,5,81,0,1.47,1.05,2.53,1.39,2.45
West Brom,26,28,44,38,418,"3,420",38,37,29,66,33,4,5,64,0,0.97,0.76,1.74,0.87,1.63
West Ham,28,26.8,45.6,38,418,"3,420",38,43,34,77,42,1,2,66,0,1.13,0.89,2.03,1.11,2
