Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,25,27,58,38,418,"3,420",38,62,53,115,61,1,2,45,0,1.63,1.39,3.03,1.61,3
Aston Villa,29,26.6,46,38,418,"3,420",38,24,19,43,22,2,2,77,0,0.63,0.5,1.13,0.58,1.08
Bournemouth,28,27.7,51,38,418,"3,420",38,43,28,71,40,3,4,53,0,1.13,0.74,1.87,1.05,1.79
Chelsea,28,26.8,56,38,418,"3,420",38,55,40,95,51,4,5,62,0,1.45,1.05,2.5,1.34,2.39
Crystal Palace,30,27.7,46,38,418,"3,420",38,38,21,59,34,4,5,62,0,1,0.55,1.55,0.89,1.45
Everton,31,26.5,52,38,418,"3,420",38,56,44,100,52,4,5,50,0,1.47,1.16,2.63,1.37,2.53
Leicester City,23,27.7,43,38,418,"3,420",38,68,43,111,58,10,13,54,0,1.79,1.13,2.92,1.53,2.66
Liverpool,34,25.2,57,38,418,"3,420",38,62,50,112,60,2,2,67,0,1.63,1.32,2.95,1.58,2.89
Manchester City,25,28.3,57,38,418,"3,420",38,71,53,124,66,5,8,63,0,1.87,1.39,3.26,1.74,3.13
Manchester Utd,33,25.6,59,38,418,"3,420",38,46,31,77,43,3,3,67,0,1.21,0.82,2.03,1.13,1.95
Newcastle Utd,31,25.4,47,38,418,"3,420",38,43,34,77,40,3,3,61,0,1.13,0.89,2.03,1.05,1.95
Norwich City,28,27.7,46,38,418,"3,420",38,38,27,65,37,1,1,64,0,1,0.71,1.71,0.97,1.68
Southampton,26,26.4,49,38,418,"3,420",38,58,45,103,55,3,4,63,0,1.53,1.18,2.71,1.45,2.63
Stoke City,27,27.4,50,38,418,"3,420",38,40,29,69,35,5,5,53,0,1.05,0.76,1.82,0.92,1.68
Sunderland,31,27.3,41,38,418,"3,420",38,44,30,74,41,3,3,68,0,1.16,0.79,1.95,1.08,1.87
Swansea City,27,27.6,53,38,418,"3,420",38,41,25,66,36,5,5,60,0,1.08,0.66,1.74,0.95,1.61
Tottenham,24,24.5,57,38,418,"3,420",38,68,50,118,63,5,5,72,0,1.79,1.32,3.11,1.66,2.97
Watford,25,28.2,45,38,418,"3,420",38,38,18,56,32,6,7,77,0,1,0.47,1.47,0.84,1.32
West Brom,28,29.1,40,38,418,"3,420",38,32,25,57,31,1,5,65,0,0.84,0.66,1.5,0.82,1.47
West Ham,28,26.6,48.4,38,418,"3,420",38,64,38,102,60,4,4,57,0,1.68,1,2.68,1.58,2.58
