Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Barış Alper Yılmaz,FW,tr Türkiye,23,2000,5,5,450,5,0,0,0,0,0,0,0,0,0.4,0.4,0.8,1.2,14,15,36,0,0,0,0,0,0.08,0.16,0.24,0.08,0.24,Matches
Sandro Altunashvili,MF,ge Georgia,26,1997,2,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Zeki Amdouni,"MF,FW",ch Switzerland,23,2000,4,0,57,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,3,1,6,0,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
Joachim Andersen,DF,dk Denmark,27,1996,4,4,360,4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,7,24,1,0,0,0,0,0,0.04,0.06,0.1,0.04,0.1,Matches
Robert Andrich,MF,de Germany,29,1994,5,4,318,3.5,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,1,21,3,0,0,0,0,0,0.09,0.03,0.12,0.09,0.12,Matches
Waldemar Anton,DF,de Germany,27,1996,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,2,0,0,0,0,0,0,0,2.1,2.1,0,2.1,Matches
Stuart Armstrong,MF,sct Scotland,31,1992,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Matches
Marko Arnautović,FW,at Austria,34,1989,4,3,279,3.1,1,0,1,0,1,1,1,0,1.7,0.9,0,0.9,1,3,16,0.32,0,0.32,0,0,0.53,0,0.53,0.28,0.28,Matches
Jasir Asani,FW,al Albania,28,1995,3,3,210,2.3,0,1,1,0,0,0,0,0,0.1,0.1,0.4,0.5,4,4,9,0,0.43,0.43,0,0.43,0.02,0.18,0.2,0.02,0.2,Matches
Kristjan Asllani,MF,al Albania,21,2002,3,3,270,3,0,0,0,0,0,0,0,0,0.6,0.6,0.6,1.1,3,10,3,0,0,0,0,0,0.18,0.19,0.38,0.18,0.38,Matches
Kaan Ayhan,"MF,DF",tr Türkiye,29,1994,5,4,358,4,0,1,1,0,0,0,1,0,0.3,0.3,0.3,0.6,1,16,4,0,0.25,0.25,0,0.25,0.08,0.07,0.15,0.08,0.15,Matches
Alex Baena,"MF,FW",es Spain,22,2001,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,2,4,0,0,0,0,0,0,0.26,0.26,0,0.26,Matches
Alexander Bah,"DF,MF",dk Denmark,26,1997,4,3,281,3.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.4,5,20,9,0,0,0,0,0,0.12,0.02,0.14,0.12,0.14,Matches
Nedim Bajrami,"FW,MF",al Albania,24,1999,3,3,245,2.7,1,0,1,1,0,0,1,0,0.1,0.1,0,0.1,7,5,14,0.37,0,0.37,0.37,0.37,0.05,0,0.05,0.05,0.05,Matches
Johan Bakayoko,"FW,DF",be Belgium,20,2003,2,0,48,0.5,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,0,1,1,0,0,0,0,0,1.22,0.19,1.41,1.22,1.41,Matches
Jure Balkovec,DF,si Slovenia,29,1994,2,1,121,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
Iván Balliu,DF,al Albania,32,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,Matches
Nicușor Bancu,DF,ro Romania,31,1992,3,3,270,3,0,0,0,0,0,0,2,0,0,0,0.1,0.1,7,12,4,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
